fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,정상 호출되었습니다.,124900040,25586,서원마을,127.1330896356,37.563753054
2026-06-18T01:25:41.128559+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,정상 호출되었습니다.,124900042,25589,서울암사동유적,127.1308364383,37.5593289013
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000393,1018,종로4가.종묘,126.995395739,37.570635002
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000395,1020,종로5가.광장시장,126.9996038113,37.570930167
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000414,1209,창덕궁.돈화문국악당,126.991234977,37.5774327721
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100000153,1249,서울특별시재향군인회관,126.9974787875,37.5725807445
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900009,1528,종로5가입구,126.9976709493,37.5717928476
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900066,1539,종로4가.종묘공원,126.9946203403,37.5706890289
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900057,1550,종로3가역9번출구,126.9920931881,37.5710875771
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900217,1557,종로1.2.3.4가동주민센터,126.9911314256,37.5743837122
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900051,1558,창덕궁,126.9906200153,37.5760892484
2026-06-18T01:25:41.128559+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,정상 호출되었습니다.,100900096,1566,원남로터리,126.997511497,37.5762373738
