fetched_at,place_name,AREA_NM,AREA_CD,_key_used,DST_SE_NM,EMRG_STEP_NM,MSG_CN,CRT_DT
2026-07-13T21:17:03.740731+09:00,구로역,구로역,POI020,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,구로역,구로역,POI020,KEY_1,폭염,안전안내,"오늘 밤에도 폭염이 지속되어 온열질환 발생위험이 높으니, ▲충분한 물 섭취 ▲야외작업 및 외출 자제 등 건강관리에 유의 하시기 바랍니다. [구로구]",2026-07-13 15:22:20
2026-07-13T21:17:03.740731+09:00,군자역,군자역,POI021,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,군자역,군자역,POI021,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,대림역,대림역,POI023,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,대림역,대림역,POI023,KEY_3,화재,안전안내,오늘 10:27 국회 인근 화재 발생으로 국회대로↔서강대교 방향 교통혼잡 중이니 차량들은 참고 하시기 바랍니다. [영등포구],2026-07-13 11:27:21
2026-07-13T21:17:03.740731+09:00,뚝섬역,뚝섬역,POI025,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,뚝섬역,뚝섬역,POI025,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,미아사거리역,미아사거리역,POI026,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,미아사거리역,미아사거리역,POI026,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,오늘 밤에도 열대야가 계속될 것으로 예상됩니다. ▲적정 실내온도 유지 ▲충분한 수분 섭취 ▲취약계층 안부확인 등 온열질환 예방에 유의하시기 바랍니다.[성북구],2026-07-13 17:50:00
2026-07-13T21:17:03.740731+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,수유역,수유역,POI036,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,수유역,수유역,POI036,KEY_3,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,신도림역,신도림역,POI038,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,신도림역,신도림역,POI038,KEY_3,폭염,안전안내,"오늘 밤에도 폭염이 지속되어 온열질환 발생위험이 높으니, ▲충분한 물 섭취 ▲야외작업 및 외출 자제 등 건강관리에 유의 하시기 바랍니다. [구로구]",2026-07-13 15:22:20
2026-07-13T21:17:03.740731+09:00,쌍문역,쌍문역,POI070,KEY_3,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,쌍문역,쌍문역,POI070,KEY_3,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,연신내역,연신내역,POI043,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,연신내역,연신내역,POI043,KEY_2,정전,안전안내,현재 갈현로33가길 일대 한전 변압기 고장으로 정전 발생. 복구에 장시간 소요 예상. 전기플러그를 뽑고 안전사고에 유의바랍니다. [은평구],2026-07-13 00:45:39
2026-07-13T21:17:03.740731+09:00,왕십리역,왕십리역,POI045,KEY_4,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,왕십리역,왕십리역,POI045,KEY_4,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,장한평역,장한평역,POI049,KEY_2,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,장한평역,장한평역,POI049,KEY_2,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T21:17:03.740731+09:00,장한평역,장한평역,POI049,KEY_2,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
2026-07-13T21:17:03.740731+09:00,회기역,회기역,POI056,KEY_1,폭염,안전안내,"오늘 밤에도 무더위가 이어지겠습니다. 실내 온도 시원하게 유지, 충분한 수분 섭취, 지인 안부 확인 등 건강관리에 유의 바랍니다. [서울특별시]",2026-07-13 18:13:17
2026-07-13T21:17:03.740731+09:00,회기역,회기역,POI056,KEY_1,폭염,안전안내,"연일 무더위가 지속되고 있습니다. 야외 활동 자제, 충분한 수분 섭취 등 건강관리에 유의 바랍니다. https://vo.la/E99gezv  [동대문구]",2026-07-13 15:45:37
2026-07-13T21:17:03.740731+09:00,회기역,회기역,POI056,KEY_1,폭염,안전안내,오늘 14:00 폭염경보. 야외 활동을 자제하세요. 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의하세요. [행정안전부],2026-07-13 13:06:54
