fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME,CMRCL_RSB
2026-07-20T00:08:00.695786+09:00,신도림역,신도림역,POI038,KEY_3,한산한,4,0,10000,66.7,33.3,0.0,33.3,16.7,33.3,0.0,16.7,100.0,0.0,20260719 2210,
2026-07-20T00:08:00.695786+09:00,신림역,신림역,POI039,KEY_4,보통,53,700000,750000,55.8,44.2,0.0,44.2,40.5,6.9,8.4,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,신정네거리역,신정네거리역,POI117,KEY_1,한산한,4,30000,40000,12.5,87.5,0.0,0.0,0.0,31.3,12.5,56.3,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,신촌·이대역,신촌·이대역,POI040,KEY_2,한산한,23,200000,250000,44.8,55.2,0.9,33.0,12.7,8.1,20.4,24.9,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,쌍문역,쌍문역,POI070,KEY_3,한산한,5,20000,30000,91.7,8.3,0.0,8.3,70.8,16.7,0.0,4.2,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,양재역,양재역,POI041,KEY_4,한산한,4,20000,30000,47.6,52.4,0.0,71.4,28.6,0.0,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,역삼역,역삼역,POI042,KEY_1,한산한,7,60000,70000,100.0,0.0,0.0,0.0,69.0,15.5,0.0,15.5,90.6,9.4,20260719 2350,
2026-07-20T00:08:00.695786+09:00,연신내역,연신내역,POI043,KEY_2,한산한,17,400000,450000,29.8,70.2,0.9,60.6,17.7,14.1,6.7,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,오목교역·목동운동장,오목교역·목동운동장,POI044,KEY_3,한산한,10,100000,150000,95.0,5.0,0.0,31.9,52.9,11.8,3.4,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,왕십리역,왕십리역,POI045,KEY_4,한산한,7,80000,90000,95.0,5.0,5.0,42.5,47.5,5.0,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,용산역,용산역,POI046,KEY_1,한산한,4,10000,20000,76.5,23.5,0.0,23.5,17.6,41.2,17.6,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,이태원역,이태원역,POI047,KEY_2,바쁜,22,500000,550000,80.0,20.0,0.0,44.3,55.7,0.0,0.0,0.0,83.5,16.5,20260719 2350,
2026-07-20T00:08:00.695786+09:00,잠실새내역,잠실새내역,POI118,KEY_3,한산한,17,800000,850000,69.7,30.3,0.0,35.4,48.9,15.7,0.0,0.0,99.5,0.5,20260719 2350,
2026-07-20T00:08:00.695786+09:00,잠실역,잠실역,POI119,KEY_4,한산한,6,30000,40000,78.9,21.1,0.0,63.2,0.0,5.3,31.6,0.0,52.8,47.2,20260719 2340,
2026-07-20T00:08:00.695786+09:00,장지역,장지역,POI048,KEY_1,한산한,4,10000,20000,45.0,55.0,0.0,20.0,0.0,80.0,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,장한평역,장한평역,POI049,KEY_2,한산한,6,40000,50000,95.7,4.3,0.0,0.0,27.7,0.0,0.0,72.3,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,천호역,천호역,POI050,KEY_3,한산한,5,30000,40000,51.4,48.6,0.0,32.4,10.8,56.8,0.0,0.0,79.2,20.8,20260719 2350,
2026-07-20T00:08:00.695786+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_4,한산한,6,30000,40000,70.6,29.4,0.0,55.9,20.6,11.8,0.0,11.8,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,충정로역,충정로역,POI052,KEY_1,한산한,4,10000,20000,100.0,0.0,0.0,18.2,81.8,0.0,0.0,0.0,100.0,0.0,20260719 2300,
2026-07-20T00:08:00.695786+09:00,합정역,합정역,POI053,KEY_2,한산한,7,20000,30000,82.1,17.9,0.0,32.1,21.4,0.0,46.4,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,혜화역,혜화역,POI054,KEY_3,한산한,10,200000,250000,60.8,39.2,12.7,51.5,2.5,33.3,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_4,한산한,10,100000,150000,54.3,45.7,0.0,47.4,43.1,6.0,0.0,3.4,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,회기역,회기역,POI056,KEY_1,한산한,11,150000,200000,96.9,3.1,2.5,44.1,28.0,0.6,6.2,18.6,100.0,0.0,20260719 2350,
2026-07-20T02:11:31.325382+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,7,30000,40000,37.5,62.5,0.0,25.0,31.3,21.9,21.9,0.0,100.0,0.0,20260719 2340,
2026-07-20T02:11:31.325382+09:00,보신각,보신각,POI010,KEY_3,보통,5,850000,900000,94.6,5.4,0.0,37.7,62.3,0.0,0.0,0.0,100.0,0.0,20260720 0050,
2026-07-20T02:11:31.325382+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,100000,150000,87.0,13.0,0.0,13.0,0.0,87.0,0.0,0.0,100.0,0.0,20260719 2320,
2026-07-20T02:11:31.325382+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,5,30000,40000,23.3,76.7,0.0,0.0,20.0,33.3,46.7,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,5,400000,450000,68.9,31.1,0.0,12.1,87.9,0.0,0.0,0.0,74.8,25.2,20260720 0110,
2026-07-20T02:11:31.325382+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,보통,27,550000,600000,85.1,14.9,1.8,41.1,46.7,10.1,0.4,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,한산한,11,300000,350000,56.6,43.4,0.0,70.1,6.6,23.4,0.0,0.0,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,9,50000,60000,83.9,16.1,0.0,7.1,33.9,28.6,0.0,30.4,100.0,0.0,20260720 0150,
2026-07-20T02:11:31.325382+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,한산한,55,1000000,1100000,55.8,44.2,1.0,64.3,14.3,6.1,9.7,4.7,100.0,0.0,20260720 0150,
