fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME,RSB_LRG_CTGR,RSB_MID_CTGR,RSB_PAYMENT_LVL,RSB_SH_PAYMENT_CNT,RSB_SH_PAYMENT_AMT_MIN,RSB_SH_PAYMENT_AMT_MAX,RSB_MCT_CNT,RSB_MCT_TIME
2026-05-10T23:08:17.374458+09:00,서울대공원,서울대공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,서울숲공원,서울숲공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,북서울꿈의숲,북서울꿈의숲,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,올림픽공원,올림픽공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,송파나루역,송파나루역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,수서역,수서역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,혜화역(대학로),혜화역(대학로),,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,노량진,노량진,POI063,KEY_1,한산한,22,100000,150000,88.7,11.3,0.0,30.8,40.6,24.8,3.8,0.0,97.1,2.9,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,마곡지구,마곡지구,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,디지털미디어시티역,디지털미디어시티역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,상암월드컵경기장,상암월드컵경기장,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,수유역,수유역,POI036,KEY_1,보통,25,600000,650000,59.4,40.6,0.0,33.0,28.4,23.9,5.1,9.6,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,쌍문역,쌍문역,POI070,KEY_1,한산한,10,300000,350000,92.1,7.9,0.0,0.3,46.6,7.6,40.9,4.6,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,미아사거리역,미아사거리역,POI026,KEY_1,한산한,10,100000,150000,37.3,62.7,0.0,16.9,0.0,19.5,60.2,3.4,100.0,0.0,20260510 2250,,,,,,,,
2026-05-10T23:08:17.374458+09:00,창동역,창동역,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,강서한강공원,강서한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,광나루한강공원,광나루한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,잠원한강공원,잠원한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,이촌한강공원,이촌한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,망원한강공원,망원한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T23:08:17.374458+09:00,양화한강공원,양화한강공원,,KEY_1,,,,,,,,,,,,,,,,,,,,,,,
