fetched_at,place_name,AREA_NM,AREA_CD,_key_used
2026-06-27T00:58:16.431663+09:00,난지한강공원,난지한강공원,POI090,KEY_2
2026-06-27T00:58:16.431663+09:00,남산공원,남산공원,POI091,KEY_3
2026-06-27T00:58:16.431663+09:00,노들섬,노들섬,POI092,KEY_4
2026-06-27T00:58:16.431663+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1
2026-06-27T00:58:16.431663+09:00,망원한강공원,망원한강공원,POI094,KEY_2
2026-06-27T00:58:16.431663+09:00,반포한강공원,반포한강공원,POI095,KEY_3
2026-06-27T00:58:16.431663+09:00,보라매공원,보라매공원,POI123,KEY_4
2026-06-27T00:58:16.431663+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1
2026-06-27T00:58:16.431663+09:00,서대문독립공원,서대문독립공원,POI124,KEY_2
2026-06-27T00:58:16.431663+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3
2026-06-27T00:58:16.431663+09:00,서울대공원,서울대공원,POI100,KEY_4
2026-06-27T00:58:16.431663+09:00,서울숲공원,서울숲공원,POI101,KEY_1
2026-06-27T00:58:16.431663+09:00,송현녹지광장,송현녹지광장,POI129,KEY_2
2026-06-27T00:58:16.431663+09:00,아차산,아차산,POI102,KEY_3
2026-06-27T00:58:16.431663+09:00,안양천,안양천,POI125,KEY_4
2026-06-27T00:58:16.431663+09:00,양화한강공원,양화한강공원,POI103,KEY_1
2026-06-27T00:58:16.431663+09:00,어린이대공원,어린이대공원,POI104,KEY_2
2026-06-27T00:58:16.431663+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3
2026-06-27T00:58:16.431663+09:00,여의서로,여의서로,POI126,KEY_4
2026-06-27T00:58:16.431663+09:00,올림픽공원,올림픽공원,POI127,KEY_1
2026-06-27T00:58:16.431663+09:00,월드컵공원,월드컵공원,POI106,KEY_2
2026-06-27T00:58:16.431663+09:00,응봉산,응봉산,POI107,KEY_3
2026-06-27T00:58:16.431663+09:00,이촌한강공원,이촌한강공원,POI108,KEY_4
2026-06-27T00:58:16.431663+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1
2026-06-27T00:58:16.431663+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2
2026-06-27T00:58:16.431663+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3
2026-06-27T00:58:16.431663+09:00,청계산,청계산,POI112,KEY_4
2026-06-27T00:58:16.431663+09:00,홍제폭포,홍제폭포,POI128,KEY_1
2026-06-27T00:58:16.431663+09:00,가락시장,가락시장,POI058,KEY_2
2026-06-27T00:58:16.431663+09:00,가로수길,가로수길,POI059,KEY_3
2026-06-27T00:58:16.431663+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4
2026-06-27T00:58:16.431663+09:00,김포공항,김포공항,POI061,KEY_1
2026-06-27T00:58:16.431663+09:00,남대문시장,남대문시장,POI115,KEY_2
2026-06-27T00:58:16.431663+09:00,노량진,노량진,POI063,KEY_3
2026-06-27T00:58:16.431663+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4
2026-06-27T00:58:16.431663+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1
2026-06-27T00:58:16.431663+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2
2026-06-27T00:58:16.431663+09:00,서촌,서촌,POI067,KEY_3
2026-06-27T00:58:16.431663+09:00,성수카페거리,성수카페거리,POI068,KEY_4
2026-06-27T00:58:16.431663+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1
2026-06-27T00:58:16.431663+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2
2026-06-27T00:58:16.431663+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3
2026-06-27T00:58:16.431663+09:00,여의도,여의도,POI072,KEY_4
2026-06-27T00:58:16.431663+09:00,연남동,연남동,POI073,KEY_1
2026-06-27T00:58:16.431663+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2
2026-06-27T00:58:16.431663+09:00,용리단길,용리단길,POI076,KEY_3
2026-06-27T00:58:16.431663+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4
2026-06-27T00:58:16.431663+09:00,익선동,익선동,POI116,KEY_1
2026-06-27T00:58:16.431663+09:00,인사동,인사동,POI078,KEY_2
2026-06-27T00:58:16.431663+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3
2026-06-27T00:58:16.431663+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4
2026-06-27T00:58:16.431663+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1
2026-06-27T00:58:16.431663+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2
2026-06-27T00:58:16.431663+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3
2026-06-27T00:58:16.431663+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4
2026-06-27T00:58:16.431663+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1
2026-06-27T00:58:16.431663+09:00,가산디지털단지역,가산디지털단지역,POI013,KEY_2
2026-06-27T00:58:16.431663+09:00,강남역,강남역,POI014,KEY_3
2026-06-27T00:58:16.431663+09:00,건대입구역,건대입구역,POI015,KEY_4
2026-06-27T00:58:16.431663+09:00,고덕역,고덕역,POI016,KEY_1
2026-06-27T00:58:16.431663+09:00,고속터미널역,고속터미널역,POI017,KEY_2
2026-06-27T00:58:16.431663+09:00,교대역,교대역,POI018,KEY_3
2026-06-27T00:58:16.431663+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_4
2026-06-27T00:58:16.431663+09:00,구로역,구로역,POI020,KEY_1
2026-06-27T00:58:16.431663+09:00,군자역,군자역,POI021,KEY_2
2026-06-27T00:58:16.431663+09:00,대림역,대림역,POI023,KEY_3
2026-06-27T00:58:16.431663+09:00,동대문역,동대문역,POI024,KEY_4
2026-06-27T00:58:16.431663+09:00,뚝섬역,뚝섬역,POI025,KEY_1
2026-06-27T00:58:16.431663+09:00,미아사거리역,미아사거리역,POI026,KEY_2
2026-06-27T00:58:16.431663+09:00,발산역,발산역,POI027,KEY_3
2026-06-27T00:58:16.431663+09:00,사당역,사당역,POI029,KEY_4
2026-06-27T00:58:16.431663+09:00,삼각지역,삼각지역,POI030,KEY_1
2026-06-27T00:58:16.431663+09:00,서울대입구역,서울대입구역,POI031,KEY_2
2026-06-27T00:58:16.431663+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3
2026-06-27T00:58:16.431663+09:00,서울역,서울역,POI033,KEY_4
2026-06-27T00:58:16.431663+09:00,선릉역,선릉역,POI034,KEY_1
2026-06-27T00:58:16.431663+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2
2026-06-27T00:58:16.431663+09:00,수유역,수유역,POI036,KEY_3
2026-06-27T00:58:16.431663+09:00,숭례문,숭례문,POI131,KEY_4
2026-06-27T00:58:16.431663+09:00,시의회 앞,시의회 앞,POI130,KEY_1
2026-06-27T00:58:16.431663+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2
2026-06-27T00:58:16.431663+09:00,신도림역,신도림역,POI038,KEY_3
2026-06-27T00:58:16.431663+09:00,신림역,신림역,POI039,KEY_4
2026-06-27T00:58:16.431663+09:00,신정네거리역,신정네거리역,POI117,KEY_1
2026-06-27T00:58:16.431663+09:00,신촌·이대역,신촌·이대역,POI040,KEY_2
2026-06-27T00:58:16.431663+09:00,쌍문역,쌍문역,POI070,KEY_3
2026-06-27T00:58:16.431663+09:00,양재역,양재역,POI041,KEY_4
2026-06-27T00:58:16.431663+09:00,역삼역,역삼역,POI042,KEY_1
2026-06-27T00:58:16.431663+09:00,연신내역,연신내역,POI043,KEY_2
2026-06-27T00:58:16.431663+09:00,오목교역·목동운동장,오목교역·목동운동장,POI044,KEY_3
2026-06-27T00:58:16.431663+09:00,왕십리역,왕십리역,POI045,KEY_4
2026-06-27T00:58:16.431663+09:00,용산역,용산역,POI046,KEY_1
2026-06-27T00:58:16.431663+09:00,이태원역,이태원역,POI047,KEY_2
2026-06-27T00:58:16.431663+09:00,잠실새내역,잠실새내역,POI118,KEY_3
2026-06-27T00:58:16.431663+09:00,잠실역,잠실역,POI119,KEY_4
2026-06-27T00:58:16.431663+09:00,장지역,장지역,POI048,KEY_1
2026-06-27T00:58:16.431663+09:00,장한평역,장한평역,POI049,KEY_2
2026-06-27T00:58:16.431663+09:00,천호역,천호역,POI050,KEY_3
2026-06-27T00:58:16.431663+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_4
2026-06-27T00:58:16.431663+09:00,충정로역,충정로역,POI052,KEY_1
2026-06-27T00:58:16.431663+09:00,합정역,합정역,POI053,KEY_2
2026-06-27T00:58:16.431663+09:00,혜화역,혜화역,POI054,KEY_3
2026-06-27T00:58:16.431663+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_4
2026-06-27T00:58:16.431663+09:00,회기역,회기역,POI056,KEY_1
