fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LINK_ID,ROAD_NM,START_ND_CD,START_ND_NM,START_ND_XY,END_ND_CD,END_ND_NM,END_ND_XY,DIST,SPD,IDX,XYLIST
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000037000,자하문로10길,1000142900,창성동 130-12,126.9720322425473000_37.5795267662096677,1000022104,한글전각갤러리,126.9737551795793422_37.5794483274217725,153.0,11.0,정체,126.9737551795793422_37.5794483274217725|126.9735697636163820_37.5794379905376914|126.9730629180689760_37.5794543875836595|126.9720322425473000_37.5795267662096677
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000038800,자하문로16길,1000068600,효자동 158-3,126.9730842997045812_37.5818361876427218,1000023604,세종로 1-82,126.9736148980526167_37.5818577441157089,47.0,8.0,정체,126.9736148980526167_37.5818577441157089|126.9732424959569812_37.5818454811704967|126.9730842997045812_37.5818361876427218
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000301,종로,1000081900,종로1가 82-2,126.9798999832241719_37.5701535606807582,1000008607,종로구청입구교차로,126.9793805233784241_37.5701494116837509,46.0,13.0,정체,126.9793805233784241_37.5701494116837509|126.9798999832241719_37.5701535606807582
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000401,종로,1000008606,종로구청입구교차로,126.9793844377634713_37.5702575676490582,1000008905,SK빌딩,126.9809530025248421_37.5702700889503021,139.0,18.0,서행,126.9809530025248421_37.5702700889503021|126.9798986206276368_37.5702616744867512|126.9793844377634713_37.5702575676490582
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000703,새문안로,1000008201,구세군회관,126.9726666240444217_37.5702234697315518,1000008304,뉴질랜드관광청,126.9749173399443691_37.5702117971802636,199.0,20.0,서행,126.9749173399443691_37.5702117971802636|126.9745065658627396_37.5702088031007975|126.9743721680184052_37.5702090286750732|126.9726666240444217_37.5702234697315518
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000802,새문안로,1000007903,신문로1가 5-4,126.9743707219120381_37.5701009152256020,1000008202,구세군회관,126.9726644410624914_37.5701153625080622,151.0,39.0,원활,126.9726644410624914_37.5701153625080622|126.9743707219120381_37.5701009152256020
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000803,새문안로,1000008403,신문로1가141,126.9755270360325170_37.5701094904468960,1000007902,신문로1가 5-4,126.9745078099836633_37.5701006884260735,90.0,40.0,원활,126.9745078099836633_37.5701006884260735|126.9749185834716059_37.5701036825010561|126.9750548861427575_37.5701048454871938|126.9755270360325170_37.5701094904468960
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000901,새문안로,1000008301,뉴질랜드관광청,126.9750532070518432_37.5702129564638909,1000008404,신문로1가141,126.9755253576206542_37.5702176014390972,42.0,47.0,원활,126.9755253576206542_37.5702176014390972|126.9750532070518432_37.5702129564638909
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000902,새문안로,1000008401,신문로1가141,126.9756642084840337_37.5702188245241615,1000009300,세종로208,126.9762005801091362_37.5702231750732523,47.0,44.5,원활,126.9762005801091362_37.5702231750732523|126.9756642084840337_37.5702188245241615
2026-08-09T00:39:52.053874+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,1000000903,새문안로,1000214200,세종대로사거리,126.9766244379145377_37.5702266110763219,1000009004,세종대로사거리,126.9769755542479714_37.5702294562480148,31.0,47.0,원활,126.9769755542479714_37.5702294562480148|126.9766244379145377_37.5702266110763219
