adstr_cd,dong_nm,category,pred_sales,pred_sales_백만원,rank
11230660,장안2동,호프-간이주점,1913894500.0,1913.9,2
11230660,장안2동,제과점,1314007400.0,1314.0,3
11230705,청량리동,한식음식점,11211730000.0,11211.7,1
11230705,청량리동,호프-간이주점,1313809400.0,1313.8,2
11230705,청량리동,커피-음료,730489540.0,730.5,3
11230710,회기동,한식음식점,8116473300.0,8116.5,1
11230710,회기동,커피-음료,3071208400.0,3071.2,2
11230710,회기동,호프-간이주점,2491964700.0,2492.0,3
11230720,휘경1동,한식음식점,4181151200.0,4181.2,1
11230720,휘경1동,호프-간이주점,877971200.0,878.0,2
11230720,휘경1동,분식전문점,547954200.0,548.0,3
11230730,휘경2동,한식음식점,1468122500.0,1468.1,1
11230730,휘경2동,커피-음료,271923140.0,271.9,2
11230730,휘경2동,분식전문점,215536450.0,215.5,3
11230740,이문1동,한식음식점,6161123000.0,6161.1,1
11230740,이문1동,커피-음료,1958022300.0,1958.0,2
11230740,이문1동,호프-간이주점,743822400.0,743.8,3
11230750,이문2동,한식음식점,820056060.0,820.1,1
11230750,이문2동,제과점,204333000.0,204.3,2
11230750,이문2동,중식음식점,72867460.0,72.9,3
11260520,면목2동,한식음식점,5176986000.0,5177.0,1
11260520,면목2동,호프-간이주점,447008000.0,447.0,2
11260520,면목2동,제과점,392661250.0,392.7,3
11260540,면목4동,한식음식점,1077487000.0,1077.5,1
11260540,면목4동,호프-간이주점,246316140.0,246.3,2
11260540,면목4동,커피-음료,193700800.0,193.7,3
11260550,면목5동,한식음식점,1967141000.0,1967.1,1
11260550,면목5동,호프-간이주점,150307200.0,150.3,2
11260550,면목5동,분식전문점,114059720.0,114.1,3
11260565,면목본동,한식음식점,12384786000.0,12384.8,1
11260565,면목본동,호프-간이주점,1862490600.0,1862.5,2
11260565,면목본동,분식전문점,702057540.0,702.1,3
11260570,면목7동,한식음식점,4683506700.0,4683.5,1
11260570,면목7동,제과점,922272400.0,922.3,2
11260570,면목7동,호프-간이주점,596577860.0,596.6,3
11260575,면목3·8동,한식음식점,9254094000.0,9254.1,1
11260575,면목3·8동,호프-간이주점,1750255600.0,1750.3,2
11260575,면목3·8동,커피-음료,737486500.0,737.5,3
11260580,상봉1동,패스트푸드점,4346466000.0,4346.5,1
11260580,상봉1동,한식음식점,2761801700.0,2761.8,2
11260580,상봉1동,커피-음료,770538900.0,770.5,3
11260590,상봉2동,한식음식점,21157958000.0,21158.0,1
11260590,상봉2동,호프-간이주점,4497311000.0,4497.3,2
11260590,상봉2동,일식음식점,1332959900.0,1333.0,3
11260600,중화1동,한식음식점,969592700.0,969.6,1
11260600,중화1동,분식전문점,167453520.0,167.5,2
11260600,중화1동,호프-간이주점,139946540.0,139.9,3
11260610,중화2동,한식음식점,9800761000.0,9800.8,1
11260610,중화2동,호프-간이주점,1544984000.0,1545.0,2
11260610,중화2동,분식전문점,477678940.0,477.7,3
11260620,묵1동,한식음식점,7169337000.0,7169.3,1
11260620,묵1동,호프-간이주점,657805900.0,657.8,2
11260620,묵1동,커피-음료,629758600.0,629.8,3
11260630,묵2동,한식음식점,4612505600.0,4612.5,1
11260630,묵2동,호프-간이주점,1064858750.0,1064.9,2
11260630,묵2동,중식음식점,305357860.0,305.4,3
11260655,망우본동,한식음식점,13814620000.0,13814.6,1
11260655,망우본동,호프-간이주점,2458727000.0,2458.7,2
11260655,망우본동,커피-음료,805037300.0,805.0,3
11260660,망우3동,한식음식점,3595341800.0,3595.3,1
11260660,망우3동,제과점,453866370.0,453.9,2
11260660,망우3동,호프-간이주점,297989120.0,298.0,3
11260680,신내1동,한식음식점,9510155000.0,9510.2,1
11260680,신내1동,커피-음료,961702340.0,961.7,2
11260680,신내1동,호프-간이주점,820462850.0,820.5,3
11260690,신내2동,한식음식점,3219513600.0,3219.5,1
11260690,신내2동,제과점,1092717400.0,1092.7,2
11260690,신내2동,분식전문점,475043140.0,475.0,3
11290525,성북동,한식음식점,6361246000.0,6361.2,1
11290525,성북동,커피-음료,1518106900.0,1518.1,2
11290525,성북동,양식음식점,786294140.0,786.3,3
11290555,삼선동,한식음식점,10097377000.0,10097.4,1
11290555,삼선동,호프-간이주점,1739535700.0,1739.5,2
11290555,삼선동,커피-음료,1148789600.0,1148.8,3
11290575,동선동,한식음식점,15469693000.0,15469.7,1
11290575,동선동,커피-음료,6037509000.0,6037.5,2
11290575,동선동,호프-간이주점,5175268400.0,5175.3,3
11290580,돈암1동,한식음식점,136053600.0,136.1,1
11290580,돈암1동,호프-간이주점,30228120.0,30.2,2
11290580,돈암1동,중식음식점,29421802.0,29.4,3
11290590,돈암2동,커피-음료,489783400.0,489.8,1
11290590,돈암2동,한식음식점,444755970.0,444.8,2
11290590,돈암2동,제과점,126678824.0,126.7,3
11290600,안암동,한식음식점,11103578000.0,11103.6,1
11290600,안암동,커피-음료,4229791700.0,4229.8,2
11290600,안암동,호프-간이주점,2568891600.0,2568.9,3
11290610,보문동,한식음식점,3493329400.0,3493.3,1
11290610,보문동,호프-간이주점,525709500.0,525.7,2
11290610,보문동,커피-음료,311747170.0,311.7,3
11290620,정릉1동,한식음식점,1564397800.0,1564.4,1
11290620,정릉1동,치킨전문점,238841630.0,238.8,2
11290620,정릉1동,제과점,120934744.0,120.9,3
11290630,정릉2동,한식음식점,3240657700.0,3240.7,1
11290630,정릉2동,커피-음료,333768260.0,333.8,2
11290630,정릉2동,패스트푸드점,231643420.0,231.6,3
11290640,정릉3동,한식음식점,2695710700.0,2695.7,1
11290640,정릉3동,커피-음료,414910980.0,414.9,2
11290640,정릉3동,치킨전문점,330011260.0,330.0,3
11290650,정릉4동,한식음식점,3417904000.0,3417.9,1
11290650,정릉4동,호프-간이주점,321333400.0,321.3,2
11290650,정릉4동,커피-음료,312924320.0,312.9,3
11290660,길음1동,한식음식점,1012006500.0,1012.0,1
11290660,길음1동,제과점,420490180.0,420.5,2
11290660,길음1동,분식전문점,280978500.0,281.0,3
11290685,길음2동,한식음식점,2701341400.0,2701.3,1
11290685,길음2동,커피-음료,614506500.0,614.5,2
11290685,길음2동,제과점,393516740.0,393.5,3
11290705,종암동,한식음식점,8129271000.0,8129.3,1
11290705,종암동,커피-음료,870574100.0,870.6,2
11290705,종암동,제과점,723547900.0,723.5,3
11290715,월곡1동,한식음식점,2657088000.0,2657.1,1
11290715,월곡1동,제과점,331247940.0,331.2,2
11290715,월곡1동,커피-음료,305696420.0,305.7,3
11290725,월곡2동,한식음식점,7687938000.0,7687.9,1
11290725,월곡2동,호프-간이주점,994052350.0,994.1,2
11290725,월곡2동,분식전문점,959002400.0,959.0,3
11290760,장위1동,한식음식점,3259129600.0,3259.1,1
11290760,장위1동,호프-간이주점,596424260.0,596.4,2
11290760,장위1동,분식전문점,175152370.0,175.2,3
11290770,장위2동,한식음식점,3311628300.0,3311.6,1
11290770,장위2동,호프-간이주점,335223550.0,335.2,2
11290770,장위2동,중식음식점,260530640.0,260.5,3
11290780,장위3동,한식음식점,1051866800.0,1051.9,1
11290780,장위3동,제과점,114042320.0,114.0,2
11290780,장위3동,중식음식점,108594350.0,108.6,3
11290810,석관동,한식음식점,12591460000.0,12591.5,1
11290810,석관동,호프-간이주점,2032358300.0,2032.4,2
11290810,석관동,제과점,570986500.0,571.0,3
11305534,삼양동,한식음식점,2243595000.0,2243.6,1
11305534,삼양동,제과점,320544960.0,320.5,2
11305534,삼양동,호프-간이주점,222956340.0,223.0,3
11305535,미아동,한식음식점,8105396000.0,8105.4,1
11305535,미아동,호프-간이주점,1659104300.0,1659.1,2
11305535,미아동,분식전문점,842531700.0,842.5,3
11305545,송중동,한식음식점,13900601000.0,13900.6,1
11305545,송중동,호프-간이주점,3573403100.0,3573.4,2
11305545,송중동,커피-음료,1097023500.0,1097.0,3
11305555,송천동,한식음식점,7442371600.0,7442.4,1
11305555,송천동,호프-간이주점,663199100.0,663.2,2
11305555,송천동,분식전문점,478658460.0,478.7,3
11305575,삼각산동,한식음식점,2249177900.0,2249.2,1
11305575,삼각산동,분식전문점,393007420.0,393.0,2
11305575,삼각산동,커피-음료,269893500.0,269.9,3
11305595,번1동,한식음식점,8583012000.0,8583.0,1
11305595,번1동,호프-간이주점,2286559200.0,2286.6,2
11305595,번1동,커피-음료,748967400.0,749.0,3
11305603,번2동,한식음식점,1126948200.0,1126.9,1
11305603,번2동,커피-음료,139214940.0,139.2,2
11305603,번2동,중식음식점,95786300.0,95.8,3
11305608,번3동,한식음식점,2455338800.0,2455.3,1
11305608,번3동,제과점,256604030.0,256.6,2
11305608,번3동,커피-음료,171420320.0,171.4,3
11305615,수유1동,한식음식점,5589526500.0,5589.5,1
11305615,수유1동,분식전문점,408736320.0,408.7,2
11305615,수유1동,호프-간이주점,364144160.0,364.1,3
11305625,수유2동,한식음식점,4789226500.0,4789.2,1
11305625,수유2동,호프-간이주점,418450780.0,418.5,2
11305625,수유2동,치킨전문점,327557400.0,327.6,3
11305635,수유3동,한식음식점,23083653000.0,23083.7,1
11305635,수유3동,호프-간이주점,8935310000.0,8935.3,2
11305635,수유3동,커피-음료,1887996000.0,1888.0,3
11305645,우이동,한식음식점,12605061000.0,12605.1,1
11305645,우이동,커피-음료,1314453600.0,1314.5,2
11305645,우이동,호프-간이주점,698105100.0,698.1,3
11305660,인수동,한식음식점,3611534600.0,3611.5,1
11305660,인수동,커피-음료,642170900.0,642.2,2
11305660,인수동,호프-간이주점,431018850.0,431.0,3
11320511,창1동,한식음식점,4495656400.0,4495.7,1
11320511,창1동,제과점,1043945900.0,1043.9,2
11320511,창1동,커피-음료,906003460.0,906.0,3
11320512,창2동,한식음식점,2696749300.0,2696.7,1
11320512,창2동,중식음식점,226936540.0,226.9,2
11320512,창2동,치킨전문점,224649730.0,224.6,3
11320513,창3동,한식음식점,3491404300.0,3491.4,1
11320513,창3동,호프-간이주점,326789250.0,326.8,2
11320513,창3동,제과점,266358180.0,266.4,3
11320514,창4동,한식음식점,6632576500.0,6632.6,1
11320514,창4동,호프-간이주점,1320676000.0,1320.7,2
11320514,창4동,제과점,646861950.0,646.9,3
11320515,창5동,한식음식점,5972157400.0,5972.2,1
11320515,창5동,분식전문점,1294348900.0,1294.3,2
11320515,창5동,호프-간이주점,1095344600.0,1095.3,3
