fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO,SUB_DETAIL
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,합정,2,서울특별시 마포구 양화로 지하55(서교동),,126.913808,37.549457,,
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,홍대입구,2,서울특별시 마포구 양화로 지하160(동교동),,126.923708,37.55679,,
2026-06-12T00:22:23.638213+09:00,광화문광장,광화문광장,POI088,KEY_4,경복궁,3,서울특별시 종로구 사직로 지하130(적선동),,126.97353,37.575762,,
2026-06-12T00:22:23.638213+09:00,광화문광장,광화문광장,POI088,KEY_4,광화문,5,서울특별시 종로구 세종대로 지하172(세종로),,126.97717,37.571525,,
2026-06-12T00:22:23.638213+09:00,남산공원,남산공원,POI091,KEY_3,동대입구,3,서울특별시 중구 동호로 지하256(장충동2가),,127.005602,37.559052,,
2026-06-12T00:22:23.638213+09:00,남산공원,남산공원,POI091,KEY_3,충무로,4,서울특별시 중구 퇴계로 지하214(필동2가),,126.99408,37.561207,,
2026-06-12T00:22:23.638213+09:00,남산공원,남산공원,POI091,KEY_3,명동,4,서울특별시 중구 퇴계로 지하126(충무로2가),,126.986325,37.560989,,
2026-06-12T00:22:23.638213+09:00,남산공원,남산공원,POI091,KEY_3,충무로,3,서울특별시 중구 퇴계로 지하214(필동2가),,126.994072,37.56143,,
2026-06-12T00:22:23.638213+09:00,망원한강공원,망원한강공원,POI094,KEY_2,합정,6,서울특별시 마포구 양화로 지하45(합정동),,126.913366,37.549209,,
2026-06-12T00:22:23.638213+09:00,망원한강공원,망원한강공원,POI094,KEY_2,합정,2,서울특별시 마포구 양화로 지하55(서교동),,126.913808,37.549457,,
2026-06-12T00:22:23.638213+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매공원,신림선,서울특별시 동작구 여의대방로20길 지하11 (신대방동),,126.9180827,37.4955691,,
2026-06-12T00:22:23.638213+09:00,보라매공원,보라매공원,POI123,KEY_4,보라매병원,신림선,서울특별시 동작구 보라매로5길 지하24 (신대방동),,126.9234964,37.4929598,,
2026-06-12T00:22:23.638213+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,고속터미널,3,서울특별시 서초구 신반포로 지하188(반포동),,127.004916,37.504891,,
2026-06-12T00:22:23.638213+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,고속터미널,7,서울특별시 서초구 신반포로 지하188(반포동),,127.005068,37.503367,,
2026-06-12T00:22:23.638213+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,방배,2,서울특별시 서초구 방배로 지하80(방배동),,126.997596,37.481426,,
2026-06-12T00:22:23.638213+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,고속터미널,9,서울특별시 서초구 신반포로 지하188,,127.004403,37.50598,,
2026-06-12T00:22:23.638213+09:00,어린이대공원,어린이대공원,POI104,KEY_2,어린이대공원(세종대),7,서울특별시 광진구 능동로 지하210(화양동),,127.074658,37.548014,,
2026-06-12T00:22:23.638213+09:00,어린이대공원,어린이대공원,POI104,KEY_2,아차산(어린이대공원후문),5,서울특별시 광진구 천호대로 지하657(능동),,127.089761,37.551691,,
2026-06-12T00:22:23.638213+09:00,올림픽공원,올림픽공원,POI127,KEY_1,몽촌토성(평화의문),8,서울특별시 송파구 올림픽로 지하383(신천동),,127.112359,37.517409,,
2026-06-12T00:22:23.638213+09:00,올림픽공원,올림픽공원,POI127,KEY_1,한성백제,9,서울특별시 송파구 위례성대로 지하 51,,127.116503,37.516404,,
2026-06-12T00:22:23.638213+09:00,올림픽공원,올림픽공원,POI127,KEY_1,올림픽공원,9,서울특별시 송파구 양재대로 지하 1233,,127.130288,37.516269,,
2026-06-12T00:22:23.638213+09:00,올림픽공원,올림픽공원,POI127,KEY_1,올림픽공원(한국체대),5,서울특별시 송파구 양재대로 지하1233(방이동),,127.130923,37.516201,,
2026-06-12T00:22:23.638213+09:00,월드컵공원,월드컵공원,POI106,KEY_2,디지털미디어시티,6,서울특별시 은평구 수색로 지하175(증산동),,126.901391,37.576108,,
2026-06-12T00:22:23.638213+09:00,월드컵공원,월드컵공원,POI106,KEY_2,월드컵경기장(성산),6,서울특별시 마포구 월드컵로 지하240(성산동),,126.899298,37.569532,,
2026-06-12T00:22:23.638213+09:00,월드컵공원,월드컵공원,POI106,KEY_2,디지털미디어시티,경의중앙,서울시 은평구 수색로 193(수색동 37-2),,126.900453,37.577475,,
2026-06-12T00:22:23.638213+09:00,월드컵공원,월드컵공원,POI106,KEY_2,디지털미디어시티,공항철도,서울특별시 마포구 성암로 184,,126.898609,37.576958,,
2026-06-12T00:22:23.638213+09:00,가락시장,가락시장,POI058,KEY_2,가락시장,3,서울특별시 송파구 송파대로 지하257(가락동),,127.117757,37.492245,,
2026-06-12T00:22:23.638213+09:00,가락시장,가락시장,POI058,KEY_2,가락시장,8,서울특별시 송파구 송파대로 지하257(가락동),,127.118398,37.492888,,
2026-06-12T00:22:23.638213+09:00,가로수길,가로수길,POI059,KEY_3,압구정,3,서울특별시 강남구 압구정로 지하172(신사동),,127.028461,37.527072,,
2026-06-12T00:22:23.638213+09:00,가로수길,가로수길,POI059,KEY_3,신사,3,서울특별시 강남구 도산대로 지하102(신사동),,127.020114,37.516334,,
2026-06-12T00:22:23.638213+09:00,가로수길,가로수길,POI059,KEY_3,신사,신분당선,서울특별시 강남구 강남대로 620-2,,127.020114,37.516334,,
2026-06-12T00:22:23.638213+09:00,김포공항,김포공항,POI061,KEY_1,김포공항,5,서울특별시 강서구 하늘길 지하77(방화동),,126.801292,37.562384,,
2026-06-12T00:22:23.638213+09:00,김포공항,김포공항,POI061,KEY_1,김포공항,공항철도,서울특별시 강서구 하늘길 77,,126.801904,37.561842,,
