fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-08-18T00:35:30.987869+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3,2026-08-18 00:30,26.3,32.0,24.0,90,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,17,보통,59.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,여의서로,여의서로,POI126,KEY_4,2026-08-18 00:30,26.3,32.0,24.0,90,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,17,보통,59.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,올림픽공원,올림픽공원,POI127,KEY_1,2026-08-18 00:30,25.6,33.0,24.0,93,NE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,점검중,0,점검중,0,좋음,30.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,월드컵공원,월드컵공원,POI106,KEY_2,2026-08-18 00:30,25.8,32.0,24.0,88,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,22,보통,53.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-08-18T00:35:30.987869+09:00,응봉산,응봉산,POI107,KEY_3,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,21,좋음,27.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,이촌한강공원,이촌한강공원,POI108,KEY_4,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,좋음,40.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,2026-08-18 00:30,25.7,33.0,24.0,90,ESE,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,점검중,0,점검중,0,좋음,30.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,2026-08-18 00:30,25.6,33.0,24.0,93,NE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,22,좋음,30.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,2026-08-18 00:30,25.3,32.0,24.0,95,N,0.3,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,17,좋음,31.0,,대기질에 이상이 없어요.,,
2026-08-18T00:35:30.987869+09:00,청계산,청계산,POI112,KEY_4,2026-08-18 00:30,23.7,32.0,23.0,100,SSE,0.5,-,없음,비 또는 눈 소식이 없어요.,05:43,19:31,낮음,1,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,22,보통,56.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
