fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-06-10T00:16:33.241304+09:00,청계산,청계산,POI112,KEY_4,2026-06-10 00:10,16.6,26.0,15.0,70,SSE,0.5,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,6,좋음,19,보통,75.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,홍제폭포,홍제폭포,POI128,KEY_1,2026-06-10 00:10,16.8,25.0,16.0,70,SSE,0.6,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,18,보통,77.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,가락시장,가락시장,POI058,KEY_2,2026-06-10 00:10,19.3,27.0,17.0,53,ESE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,20,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,가로수길,가로수길,POI059,KEY_3,2026-06-10 00:10,19.9,26.0,18.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,2026-06-10 00:10,18.7,26.0,17.0,60,SE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,20,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,김포공항,김포공항,POI061,KEY_1,2026-06-10 00:10,19.5,26.0,16.0,68,SE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,18,보통,66.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,남대문시장,남대문시장,POI115,KEY_2,2026-06-10 00:10,18.7,26.0,17.0,60,SE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,20,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,노량진,노량진,POI063,KEY_3,2026-06-10 00:10,19.6,26.0,17.0,56,ESE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,17,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,2026-06-10 00:10,18.7,26.0,17.0,60,SE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,20,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,2026-06-10 00:10,18.7,26.0,17.0,60,SE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,20,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
