fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__SENSIBLE_TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-05-14T00:11:23.979686+09:00,보라매공원,보라매공원,POI123,KEY_4,2026-05-14 00:10,17.7,18.6,31.0,15.0,66,SE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,23,보통,51.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1,2026-05-14 00:10,15.8,17.5,31.0,15.0,78,ESE,0.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,20,보통,61.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,서대문독립공원,서대문독립공원,POI124,KEY_2,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,2026-05-14 00:10,16.6,18.6,31.0,15.0,83,SE,0.1,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,16,보통,66.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,서울숲공원,서울숲공원,POI101,KEY_1,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,15,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,송현녹지광장,송현녹지광장,POI129,KEY_2,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,아차산,아차산,POI102,KEY_3,2026-05-14 00:10,19.4,20.1,31.0,15.0,63,NNE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,안양천,안양천,POI125,KEY_4,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SE,0.7,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,14,보통,66.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,양화한강공원,양화한강공원,POI103,KEY_1,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SE,0.7,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,15,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,어린이대공원,어린이대공원,POI104,KEY_2,2026-05-14 00:10,20.3,21.1,31.0,16.0,64,ENE,0.9,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
