fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__SENSIBLE_TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-05-12T12:20:41.585376+09:00,총신대입구(이수)역,총신대입구(이수)역,POI051,KEY_2,2026-05-12 12:21,22.0,22.6,23.0,14.0,61,NNE,2.0,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,8,좋음,22,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,충정로역,충정로역,POI052,KEY_3,2026-05-12 12:21,20.7,21.6,22.0,15.0,66,SSE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,25,보통,56.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,합정역,합정역,POI053,KEY_1,2026-05-12 12:21,20.7,21.6,22.0,15.0,66,SSE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,25,좋음,45.0,,대기질에 이상이 없어요.,
2026-05-12T12:20:41.585376+09:00,혜화역,혜화역,POI054,KEY_2,2026-05-12 12:21,20.4,21.6,23.0,14.0,70,SE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,14,좋음,23,보통,51.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,홍대입구역(2호선),홍대입구역(2호선),POI055,KEY_3,2026-05-12 12:21,19.4,21.4,23.0,14.0,82,N,0.4,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,25,좋음,45.0,,대기질에 이상이 없어요.,
2026-05-12T12:20:41.585376+09:00,회기역,회기역,POI056,KEY_1,2026-05-12 12:21,20.9,21.8,23.0,15.0,66,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,17,좋음,20,좋음,43.0,,대기질에 이상이 없어요.,
2026-05-12T14:23:40.785219+09:00,경복궁,경복궁,POI008,KEY_1,2026-05-12 14:20,22.6,23.1,25.0,14.0,60,SSE,3.2,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,8,좋음,18,보통,64.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T14:23:40.785219+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,2026-05-12 14:20,22.6,23.1,25.0,14.0,60,SSE,3.2,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,8,좋음,18,보통,64.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T14:23:40.785219+09:00,보신각,보신각,POI010,KEY_3,2026-05-12 14:20,22.6,23.1,25.0,14.0,60,SSE,3.2,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,8,좋음,18,보통,64.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T14:23:40.785219+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_1,2026-05-12 14:20,22.8,22.7,26.0,14.0,52,S,1.3,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,11,좋음,22,보통,77.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
